,-277,803,272
3202,3,352,270
3204,3,352,270
3206,-30,-929,200
3209,-30,-929,200
3211,120,-176,304
3214,120,-176,304
3217,-296,990,251
3219,-296,990,251
3222,26,-74,161
3225,26,-74,161
3230,78,-1024,186
3235,-95,320,260
3240,-205,830,238
3245,-3,-566,305
3250,212,-661,260
3255,-214,761,267
3260,-84,577,253
3265,-22,-887,229
3270,181,-342,350
3275,-337,901,247
3280,-29,39,181
3285,26,-1024,159
3290,-23,100,264
3295,-222,957,243
3300,102,-415,245
3305,139,-888,219
3310,-198,568,237
3315,-158,762,255
3320,-23,-659,282
3325,222,-538,323
3330,-214,852,275
3335,-21,398,282
3340,-36,-969,192
3345,164,-320,373
3350,-274,921,253
3355,-18,7,177
3360,6,-1024,168
3365,-25,129,260
3370,-222,912,226
3375,110,-457,265
3380,139,-864,232
3385,-178,614,253
3390,-125,714,241
3395,-53,-699,270
3400,194,-512,342
3405,-241,906,275
3410,1,324,268
3415,-32,-1016,173
3420,148,-234,338
3425,-278,927,260
3430,-28,-39,177
3435,45,-1016,178
3440,-42,142,265
3445,-42,142,265
3450,-225,926,228
3455,97,-449,280
3460,138,-835,227
3465,-156,577,247
3470,-147,751,250
3475,-39,-687,278
3480,214,-555,341
3485,-221,873,286
3490,-26,428,283
3495,5,-990,194
3500,191,-351,371
3505,-273,910,269
3510,-28,66,188
3515,-19,-1024,155
3520,10,95,270
3525,-230,958,241
3530,130,-376,230
3535,149,-881,228
3540,-174,543,242
3545,-127,750,254
3550,-39,-669,280
3555,214,-571,310
3560,-215,853,289
3565,-47,464,264
3570,-37,-962,207
3575,240,-295,359
3580,-306,944,248
3585,-27,37,201
3590,38,-1024,145
3595,23,23,274
3600,-225,970,243
3605,116,-299,201
3610,78,-968,204
3615,-45,375,238
3620,-197,828,241
3625,-10,-567,298
3630,248,-718,293
3635,-216,703,251
3640,-102,677,258
3645,-71,-768,269
3650,241,-504,329
3655,-280,864,284
3660,24,299,265
3665,-43,-971,183
3670,111,-202,299
3675,-247,928,244
3680,27,-43,203
3685,7,-1024,160
3690,-40,63,267
3695,-259,946,226
3700,105,-291,195
3705,115,-982,211
3710,115,-982,211
3715,-65,319,250
3720,-205,877,214
3725,27,-534,332
3730,177,-758,259
3735,-211,517,242
3740,-125,745,274
3745,6,-586,306
3750,221,-587,321
3755,-203,799,283
3760,-62,528,247
3765,-27,-891,227
3770,180,-360,359
3775,-290,905,260
3780,-32,98,236
3785,8,-1024,157
3790,43,-58,273
3795,-257,987,248
3800,99,-215,187
3805,46,-1017,185
3810,-65,297,244
3815,-199,831,227
3820,25,-515,327
3825,153,-754,252
3830,-200,562,225
3835,-153,750,263
3840,-24,-662,277
3845,242,-667,324
3850,-265,794,263
3855,-6,498,249
3860,-68,-879,228
3865,205,-458,381
3870,-249,946,281
3875,-9,230,248
3880,-46,-1018,162
3885,126,-193,317
3890,-319,954,227
3895,28,-83,192
3900,-20,-1024,175
3905,-7,78,254
3910,-224,962,247
3915,89,-238,184
3920,139,-1007,187
3925,-115,268,243
3930,-180,856,219
3935,60,-495,303
3940,161,-788,266
3945,-153,523,237
3950,-154,758,258
3955,-28,-581,308
3960,202,-632,270
3965,-254,841,269
3970,-58,549,255
3975,-47,-839,235
3980,-47,-839,235
3985,202,-499,365
3990,-253,945,275
3995,16,279,259
4000,-36,-1010,175
4005,156,-274,365
4010,-234,901,244
4015,-5,29,201
[FEATURES] f0=-35600 f1=152320 f2=156425 f3=-337000 f4=253000 f5=590000 f6=122375 f7=-14785 f8=694256 f9=694413 f10=-1024000 f11=990000 f12=2014000 f13=620532 f14=251215 f15=49620 f16=256068 f17=145000 f18=381000 f19=236000 f20=37417
[SCALED_FEATURES] f0=-1239 f1=1732 f2=1806 f3=-2301 f4=1750 f5=2049 f6=1592 f7=-1007 f8=3021 f9=3026 f10=-3195 f11=2982 f12=3095 f13=2969 f14=-679 f15=-31 f16=-416 f17=-305 f18=307 f19=311 f20=-137
[FEATURES_X] mean=-35600 std=152320 rms=156425 min=-337000 max=253000 p2p=590000 mad=122375
[FEATURES_Y] mean=-14785 std=694256 rms=694413 min=-1024000 max=990000 p2p=2014000 mad=620532
[FEATURES_Z] mean=251215 std=49620 rms=256068 min=145000 max=381000 p2p=236000 mad=37417
[CLASS] CLASS=rotor_unbalance ID=1 scores_x1000=[-6828,13525,-3888,-2809]
[CLASS_STATS] condition=rotor_unbalance total_windows=4
predicted_count=[0,4,0,0]
correct_windows=4
accuracy_x1000=1000
current_prediction=1
[CLASS_TIMING] sample_interval_ms=5 window_acquisition_ms=894 feature_extract_ms=8 inference_ms=1 total_cycle_ms=969
4121,177,-279,335
4123,-266,929,242
4126,-266,929,242
4128,-13,41,225
4131,-13,41,225
4133,-13,41,225
4135,-12,-1024,169
4138,-12,-1024,169
4141,51,-97,267
4143,51,-97,267
4146,-261,974,235
4148,-261,974,235
4151,49,-91,177
4153,49,-91,177
4155,104,-1024,167
4158,104,-1024,167
4161,-48,92,245
4163,-48,92,245
4166,-178,894,230
4168,-178,894,230
4171,99,-300,207
4173,99,-300,207
4176,86,-894,220
4178,86,-894,220
4181,-79,330,240
4183,-79,330,240
4186,-202,863,214
4188,-202,863,214
4191,61,-503,348
4193,61,-503,348
4196,136,-796,252
4198,136,-796,252
4201,-186,616,238
4203,-186,616,238
4206,-114,702,262
4209,-114,702,262
4211,-19,-638,274
4214,-19,-638,274
4216,244,-572,299
4219,244,-572,299
4221,-208,780,267
4225,-66,601,265
4230,-55,-772,264
4235,232,-474,321
4240,-302,840,269
4245,-302,840,269
4250,-44,442,256
4255,-84,-888,206
4260,176,-355,330
4265,-260,945,283
4270,4,253,262
4275,-50,-999,171
4280,176,-309,344
4285,-294,956,237
4290,24,37,241
4295,-45,-1024,168
4300,72,-118,285
4305,-258,995,226
4310,-11,-49,185
4315,27,-1024,165
4320,3,14,249
4325,-201,895,249
4330,71,-216,186
4335,37,-979,187
4340,-51,184,254
4345,-183,903,239
4350,98,-366,244
4355,83,-882,239
4360,-67,423,257
4365,-161,816,227
4370,-14,-550,322
4375,179,-681,283
4380,-184,562,231
4385,-159,780,253
4390,-38,-578,300
4395,248,-619,268
4400,-272,679,239
4405,-68,638,261
4410,-25,-730,256
4415,216,-585,338
4420,-228,869,288
4425,-40,430,245
4430,-50,-899,224
4435,192,-431,367
4440,-278,966,267
4445,60,111,282
4450,-51,-1024,153
4455,109,-205,287
4460,-258,949,247
4465,-11,56,192
4470,3,-1024,158
4475,29,-35,266
4480,-227,889,245
4485,66,-202,179
4490,37,-1007,198
4495,-54,189,266
4500,-194,902,235
4505,104,-376,217
4510,104,-376,217
4515,77,-887,227
4520,-126,473,246
4525,-190,823,246
4530,-14,-556,318
4535,188,-648,292
4540,-200,663,239
4545,-103,690,255
4550,-46,-701,303
4555,212,-504,310
4560,-245,795,282
4565,-43,452,250
4570,-27,-917,225
4575,145,-362,344
4580,-232,921,266
4585,-44,111,190
4590,8,-1024,151
4595,116,22,267
4600,-246,965,238
4605,131,-305,229
4610,144,-971,229
4615,-100,369,244
4620,-197,833,232
4625,8,-552,317
4630,183,-704,272
4635,-243,704,248
4640,-45,626,236
4645,-37,-769,247
4650,201,-477,341
4655,-231,914,281
4660,19,287,269
4665,-51,-988,180
4670,144,-221,341
4675,-299,935,242
4680,-31,-31,204
4685,-17,-1024,156
4690,-13,77,259
4695,-223,963,228
4700,104,-308,181
4705,121,-921,215
4710,-139,363,240
4715,-155,802,259
4720,7,-559,325
4725,186,-652,272
4730,-192,727,273
4735,-92,644,245
4740,-8,-802,261
4745,188,-471,340
4750,-283,989,250
4755,61,123,259
4760,-26,-1024,164
4765,37,-79,250
4770,-272,1003,242
4775,-272,1003,242
4780,80,-112,176
4785,86,-1024,179
4790,-80,210,249
4795,-192,879,221
4800,93,-499,324
4805,169,-760,235
4810,-173,658,250
4815,-106,674,257
4820,-16,-756,287
4825,164,-470,362
4830,-296,939,278
4835,68,111,260
4840,-27,-1024,156
4845,24,-68,279
4850,-251,1014,241
4855,106,-253,181
4860,103,-972,218
4865,-152,375,236
4870,-169,805,260
4875,2,-542,307
4880,184,-593,307
4885,-204,820,290
4890,-33,454,270
4895,-30,-957,208
4900,135,-278,368
4905,-338,994,236
4910,61,-118,187
4915,6,-1024,173
4920,-61,210,255
4925,-220,893,218
4930,101,-567,297
4935,195,-798,237
4940,-221,631,246
4945,-109,661,241
4950,-8,-828,239
4955,186,-450,361
4960,-253,973,269
4965,2,104,205
4970,29,-1024,146
4975,134,5,281
4980,-261,920,227
4985,89,-394,275
4990,200,-906,232
4995,-173,554,248
5000,-141,715,247
5005,-39,-713,274
5010,225,-515,333
5015,-283,849,273
[FEATURES] f0=-34655 f1=147957 f2=151961 f3=-338000 f4=248000 f5=586000 f6=122050 f7=-7220 f8=690905 f9=690943 f10=-1024000 f11=1014000 f12=2038000 f13=612995 f14=248660 f15=46891 f16=253042 f17=146000 f18=368000 f19=222000 f20=35149
[SCALED_FEATURES] f0=-1114 f1=1647 f2=1710 f3=-2313 f4=1694 f5=2026 f6=1584 f7=18 f8=3001 f9=3006 f10=-3195 f11=3080 f12=3146 f13=2920 f14=-969 f15=-78 f16=-527 f17=-293 f18=167 f19=230 f20=-180
[FEATURES_X] mean=-34655 std=147957 rms=151961 min=-338000 max=248000 p2p=586000 mad=122050
[FEATURES_Y] mean=-7220 std=690905 rms=690943 min=-1024000 max=1014000 p2p=2038000 mad=612995
[FEATURES_Z] mean=248660 std=46891 rms=253042 min=146000 max=368000 p2p=222000 mad=35149
[CLASS] CLASS=rotor_unbalance ID=1 scores_x1000=[-7308,13453,-3130,-3013]
[CLASS_STATS] condition=rotor_unbalance total_windows=5
predicted_count=[0,5,0,0]
correct_windows=5
accuracy_x1000=1000
current_prediction=1
[CLASS_TIMING] sample_interval_ms=5 window_acquisition_ms=894 feature_extract_ms=8 inference_ms=1 total_cycle_ms=969
5121,105,-371,175
5123,103,-908,219
5126,103,-908,219
5128,-143,475,232
5131,-143,475,232
5133,-174,799,258
5136,-174,799,258
5139,-14,-621,288
5141,-14,-621,288
5144,232,-559,316
5146,232,-559,316
5149,-163,822,274
5151,-163,822,274
5154,-47,466,278
5156,-47,466,278
5159,-34,-936,219
5162,-34,-936,219
5164,201,-234,370
